name	p_interaction	qvalue	label	condition	replicate	intensity	Protein.IDs	Majority.protein.IDs	Fasta.headers	Peptides	Razor...unique.peptides	Unique.peptides	Only.identified.by.site	Reverse	Potential.contaminant	Protein_ID	Gene_name	ID
FMO1	7.16988249837639e-4	0.015045287808672756	736_m_wt	m_wt	736	24.764357338179153	XP_005656702.1;NP_999229.1	XP_005656702.1;NP_999229.1	dimethylaniline monooxygenase [N-oxide-forming] 1 isoform X1 [Sus scrofa]; dimethylaniline monooxygenase [N-oxide-forming] 1 [Sus scrofa]	7	7	7	NA	NA	NA	XP_005656702	FMO1	XP_005656702
FMO1	7.16988249837639e-4	0.015045287808672756	736_sc_wt	sc_wt	736	NA	XP_005656702.1;NP_999229.1	XP_005656702.1;NP_999229.1	dimethylaniline monooxygenase [N-oxide-forming] 1 isoform X1 [Sus scrofa]; dimethylaniline monooxygenase [N-oxide-forming] 1 [Sus scrofa]	7	7	7	NA	NA	NA	XP_005656702	FMO1	XP_005656702
FMO1	7.16988249837639e-4	0.015045287808672756	737_m_midy	m_midy	737	24.79292847564637	XP_005656702.1;NP_999229.1	XP_005656702.1;NP_999229.1	dimethylaniline monooxygenase [N-oxide-forming] 1 isoform X1 [Sus scrofa]; dimethylaniline monooxygenase [N-oxide-forming] 1 [Sus scrofa]	7	7	7	NA	NA	NA	XP_005656702	FMO1	XP_005656702
FMO1	7.16988249837639e-4	0.015045287808672756	737_sc_midy	sc_midy	737	NA	XP_005656702.1;NP_999229.1	XP_005656702.1;NP_999229.1	dimethylaniline monooxygenase [N-oxide-forming] 1 isoform X1 [Sus scrofa]; dimethylaniline monooxygenase [N-oxide-forming] 1 [Sus scrofa]	7	7	7	NA	NA	NA	XP_005656702	FMO1	XP_005656702
FMO1	7.16988249837639e-4	0.015045287808672756	738_m_wt	m_wt	738	24.02690229149407	XP_005656702.1;NP_999229.1	XP_005656702.1;NP_999229.1	dimethylaniline monooxygenase [N-oxide-forming] 1 isoform X1 [Sus scrofa]; dimethylaniline monooxygenase [N-oxide-forming] 1 [Sus scrofa]	7	7	7	NA	NA	NA	XP_005656702	FMO1	XP_005656702
FMO1	7.16988249837639e-4	0.015045287808672756	738_sc_wt	sc_wt	738	24.270991043670808	XP_005656702.1;NP_999229.1	XP_005656702.1;NP_999229.1	dimethylaniline monooxygenase [N-oxide-forming] 1 isoform X1 [Sus scrofa]; dimethylaniline monooxygenase [N-oxide-forming] 1 [Sus scrofa]	7	7	7	NA	NA	NA	XP_005656702	FMO1	XP_005656702
FMO1	7.16988249837639e-4	0.015045287808672756	739_m_midy	m_midy	739	24.313336450925814	XP_005656702.1;NP_999229.1	XP_005656702.1;NP_999229.1	dimethylaniline monooxygenase [N-oxide-forming] 1 isoform X1 [Sus scrofa]; dimethylaniline monooxygenase [N-oxide-forming] 1 [Sus scrofa]	7	7	7	NA	NA	NA	XP_005656702	FMO1	XP_005656702
FMO1	7.16988249837639e-4	0.015045287808672756	739_sc_midy	sc_midy	739	NA	XP_005656702.1;NP_999229.1	XP_005656702.1;NP_999229.1	dimethylaniline monooxygenase [N-oxide-forming] 1 isoform X1 [Sus scrofa]; dimethylaniline monooxygenase [N-oxide-forming] 1 [Sus scrofa]	7	7	7	NA	NA	NA	XP_005656702	FMO1	XP_005656702
FMO1	7.16988249837639e-4	0.015045287808672756	740_m_midy	m_midy	740	25.090995931628868	XP_005656702.1;NP_999229.1	XP_005656702.1;NP_999229.1	dimethylaniline monooxygenase [N-oxide-forming] 1 isoform X1 [Sus scrofa]; dimethylaniline monooxygenase [N-oxide-forming] 1 [Sus scrofa]	7	7	7	NA	NA	NA	XP_005656702	FMO1	XP_005656702
FMO1	7.16988249837639e-4	0.015045287808672756	740_sc_midy	sc_midy	740	NA	XP_005656702.1;NP_999229.1	XP_005656702.1;NP_999229.1	dimethylaniline monooxygenase [N-oxide-forming] 1 isoform X1 [Sus scrofa]; dimethylaniline monooxygenase [N-oxide-forming] 1 [Sus scrofa]	7	7	7	NA	NA	NA	XP_005656702	FMO1	XP_005656702
